"","Filename","Population","Sample"
"1","T4.D4.3.A_Cells.fcs","Cells","T4.D4.3.A"
"2","T4.D4.3.A_1.fcs","1","T4.D4.3.A"
"3","T4.D4.3.A_2.fcs","2","T4.D4.3.A"
"4","T4.D4.3.A_4.fcs","4","T4.D4.3.A"
"5","T5.D12.3.A_Cells.fcs","Cells","T5.D12.3.A"
"6","T5.D12.3.A_4.fcs","4","T5.D12.3.A"
"7","T4.D6.3.A_Cells.fcs","Cells","T4.D6.3.A"
"8","T4.D6.3.A_1.fcs","1","T4.D6.3.A"
"9","T4.D6.3.A_2.fcs","2","T4.D6.3.A"
"10","T4.D6.3.A_4.fcs","4","T4.D6.3.A"
"11","T4.D7.3.A_Cells.fcs","Cells","T4.D7.3.A"
"12","T4.D7.3.A_1.fcs","1","T4.D7.3.A"
"13","T4.D7.3.A_2.fcs","2","T4.D7.3.A"
"14","T4.D7.3.A_4.fcs","4","T4.D7.3.A"
"15","T5.D5.3.A_Cells.fcs","Cells","T5.D5.3.A"
"16","T5.D5.3.A_1.fcs","1","T5.D5.3.A"
"17","T5.D5.3.A_2.fcs","2","T5.D5.3.A"
"18","T5.D5.3.A_4.fcs","4","T5.D5.3.A"
"19","T5.D6.2.A_Cells.fcs","Cells","T5.D6.2.A"
"20","T5.D6.2.A_1.fcs","1","T5.D6.2.A"
"21","T5.D6.2.A_2.fcs","2","T5.D6.2.A"
"22","T5.D6.2.A_4.fcs","4","T5.D6.2.A"
"23","T5.D7.3.A_Cells.fcs","Cells","T5.D7.3.A"
"24","T5.D7.3.A_1.fcs","1","T5.D7.3.A"
"25","T5.D7.3.A_2.fcs","2","T5.D7.3.A"
"26","T5.D7.3.A_4.fcs","4","T5.D7.3.A"
"27","T5.D8.3.A_Cells.fcs","Cells","T5.D8.3.A"
"28","T5.D8.3.A_1.fcs","1","T5.D8.3.A"
"29","T5.D8.3.A_4.fcs","4","T5.D8.3.A"
"30","T5.D13.3.A_Cells.fcs","Cells","T5.D13.3.A"
"31","T5.D13.3.A_4.fcs","4","T5.D13.3.A"
"32","T5.D9.3.A_Cells.fcs","Cells","T5.D9.3.A"
"33","T5.D9.3.A_1.fcs","1","T5.D9.3.A"
"34","T5.D9.3.A_2.fcs","2","T5.D9.3.A"
"35","T5.D9.3.A_4.fcs","4","T5.D9.3.A"
"36","T5.D10.3.A_Cells.fcs","Cells","T5.D10.3.A"
"37","T5.D10.3.A_2.fcs","2","T5.D10.3.A"
"38","T5.D10.3.A_4.fcs","4","T5.D10.3.A"
"39","T4.D8.3.A_Cells.fcs","Cells","T4.D8.3.A"
"40","T4.D8.3.A_1.fcs","1","T4.D8.3.A"
"41","T4.D8.3.A_2.fcs","2","T4.D8.3.A"
"42","T4.D8.3.A_4.fcs","4","T4.D8.3.A"
"43","T4.D9.3.A_Cells.fcs","Cells","T4.D9.3.A"
"44","T4.D9.3.A_1.fcs","1","T4.D9.3.A"
"45","T4.D9.3.A_2.fcs","2","T4.D9.3.A"
"46","T4.D9.3.A_4.fcs","4","T4.D9.3.A"
"47","T4.D10.3.A_Cells.fcs","Cells","T4.D10.3.A"
"48","T4.D10.3.A_1.fcs","1","T4.D10.3.A"
"49","T4.D10.3.A_4.fcs","4","T4.D10.3.A"
"50","T1.D5.3.A_Cells.fcs","Cells","T1.D5.3.A"
"51","T1.D5.3.A_1.fcs","1","T1.D5.3.A"
"52","T1.D5.3.A_2.fcs","2","T1.D5.3.A"
"53","T1.D5.3.A_4.fcs","4","T1.D5.3.A"
"54","T1.D5.3.A_5.fcs","5","T1.D5.3.A"
"55","T1.D6.3.A_Cells.fcs","Cells","T1.D6.3.A"
"56","T1.D6.3.A_1.fcs","1","T1.D6.3.A"
"57","T1.D6.3.A_2.fcs","2","T1.D6.3.A"
"58","T1.D6.3.A_4.fcs","4","T1.D6.3.A"
"59","T1.D6.3.A_5.fcs","5","T1.D6.3.A"
"60","T1.D6.3.A_5b.fcs","5b","T1.D6.3.A"
"61","T1.D8.3.A_1.fcs","1","T1.D8.3.A"
"62","T1.D8.3.A_2.fcs","2","T1.D8.3.A"
"63","T1.D8.3.A_4.fcs","4","T1.D8.3.A"
"64","T1.D8.3.A_5b.fcs","5b","T1.D8.3.A"
"65","T1.D8.3.A_Cells.fcs","Cells","T1.D8.3.A"
"66","T1.D8.3.A_5.fcs","5","T1.D8.3.A"
"67","T1.D11.3.A_Cells.fcs","Cells","T1.D11.3.A"
"68","T1.D11.3.A_2.fcs","2","T1.D11.3.A"
"69","T1.D12.3.A_Cells.fcs","Cells","T1.D12.3.A"
"70","T1.D12.3.A_2.fcs","2","T1.D12.3.A"
"71","T1.D12.3.A_4.fcs","4","T1.D12.3.A"
"72","T1.D13.2.A_Cells.fcs","Cells","T1.D13.2.A"
"73","T1.D13.2.A_1.fcs","1","T1.D13.2.A"
"74","T1.D13.2.A_2.fcs","2","T1.D13.2.A"
"75","T1.D13.2.A_3.fcs","3","T1.D13.2.A"
