FileName;SampleName;Test;Comment
representative_sample_1_InFS_190711_016.fcs;T4.D4.2.B;YES;
representative_sample_10_InFS_190711_025.fcs;T1.D11.2.B;YES;
representative_sample_11_InFS_190711_026.fcs;T1.D12.2.B;YES;
representative_sample_12_InFS_190711_027.fcs;T1.D13.2.B;YES;
representative_sample_13_InFS_190711_028.fcs;T5.D5.2.B;YES;
representative_sample_14_InFS_190711_029.fcs;T5.D6.2.B;YES;
representative_sample_15_InFS_190711_030.fcs;T5.D7.2.B;YES;
representative_sample_16_InFS_190711_031.fcs;T5.D8.2.B;YES;
representative_sample_17_InFS_190711_032.fcs;T5.D9.2.B;YES;
representative_sample_18_InFS_190711_033.fcs;T5.D10.2.B;YES;
representative_sample_19_InFS_190711_034.fcs;T5.D12.2.B;YES;
representative_sample_2_InFS_190711_017.fcs;T4.D6.2.B;YES;
representative_sample_20_InFS_190711_035.fcs;T5.D13.2.B;YES;
representative_sample_3_InFS_190711_018.fcs;T4.D7.2.B;YES;
representative_sample_4_InFS_190711_019.fcs;T4.D8.2.B;YES;
representative_sample_5_InFS_190711_020.fcs;T4.D9.2.B;YES;
representative_sample_6_InFS_190711_021.fcs;T4.D10.2.B;YES;
representative_sample_7_InFS_190711_022.fcs;T1.D5.2.B;YES;
representative_sample_8_InFS_190711_023.fcs;T1.D6.2.B;YES;
representative_sample_9_InFS_190711_024.fcs;T1.D8.2.B;YES;
T1_D05_3_InFS_190805_011.fcs;T1.D5.3.A;NO;
T1_D06_3_sorting_day_1_InFS_190805_012.fcs;T1.D6.3.A;NO;sortingday1
T1_D06_3_sorting_day_2_InFS_190806_011.fcs;T1.D6.3.A;NO;sortingday2
T1_D08_3_sorting_day_1_InFS_190806_012.fcs;T1.D8.3.A;NO;sortingday1
T1_D08_3_sorting_day_2_InFS_190809_010.fcs;T1.D8.3.A;NO;sortingday2
T1_D11_3_InFS_190809_011.fcs;T1.D11.3.A;NO;
T1_D12_3_InFS_190813_014.fcs;T1.D12.3.A;NO;
T1_D13_3_InFS_190813_015.fcs;T1.D13.2.A;NO;
T4_D04_3_InFS_190729_010.fcs;T4.D4.3.A;NO;
T4_D06_3_InFS_190729_011.fcs;T4.D6.3.A;NO;
T4_D07_3_InFS_190729_012.fcs;T4.D7.3.A;NO;
T4_D08_3_InFS_190730_011.fcs;T4.D8.3.A;NO;
T4_D09_3_InFS_190730_012.fcs;T4.D9.3.A;NO;
T4_D10_3_InFS_190730_013.fcs;T4.D10.3.A;NO;
T5_D10_3_InFS_190821_011.fcs;T5.D10.3.A;NO;
T5_D12_3_InFS_190821_012.fcs;T5.D12.3.A;NO;
T5_D13_3_InFS_190821_013.fcs;T5.D13.3.A;NO;
T5_D5_3_InFS_190816_010.fcs;T5.D5.3.A;NO;
T5_D6_3_InFS_190816_011.fcs;T5.D6.2.A;NO;
T5_D7_3_InFS_190826_008.fcs;T5.D7.3.A;NO;
T5_D8_3_InFS_190826_010.fcs;T5.D8.3.A;NO;
T5_D9_3_InFS_190826_011.fcs;T5.D9.3.A;NO;
