"","population","sample","fraction"
"1","1","T4.D4.3.A/B",0.15081030403143
"2","1","T4.D6.3.A/B",0.203395266787326
"3","1","T4.D7.3.A/B",0.149328553988415
"4","1","T5.D5.3.A/B",0.167770523487402
"5","1","T5.D6.2.A/B",0.228546725268391
"6","1","T5.D6.2.A/B",0.228546725268391
"7","1","T5.D7.3.A/B",0.201390421540499
"8","1","T5.D8.3.A/B",0.222677388357862
"9","1","T5.D9.3.A/B",0.179376955516256
"10","1","T4.D8.3.A/B",0.158165021044551
"11","1","T4.D9.3.A/B",0.164934050060385
"12","1","T4.D10.3.A/B",0.0901175858234557
"13","1","T1.D5.3.A/B",0.205781905984207
"14","1","T1.D6.3.A/B",0.185448494932688
"15","1","T1.D6.3.A/B",0.171118423864268
"16","1","T1.D8.3.A/B",0.205430013681181
"17","1","T1.D8.3.A/B",0.21435570240401
"18","1","T1.D13.2.A/B",0.203270009342884
"19","1","T1.D13.2.A/B",0.203270009342884
"20","2","T4.D4.3.A/B",0.185231483548373
"21","2","T4.D6.3.A/B",0.124630575729112
"22","2","T4.D7.3.A/B",0.144757006675498
"23","2","T5.D5.3.A/B",0.2671412072501
"24","2","T5.D6.2.A/B",0.24360544707832
"25","2","T5.D6.2.A/B",0.24360544707832
"26","2","T5.D7.3.A/B",0.172864709777091
"27","2","T5.D8.3.A/B",0.154731199109897
"28","2","T5.D9.3.A/B",0.136879336144742
"29","2","T5.D10.3.A/B",0.178390648645828
"30","2","T4.D8.3.A/B",0.316806522487228
"31","2","T4.D9.3.A/B",0.271093324492647
"32","2","T1.D5.3.A/B",0.148680690000218
"33","2","T1.D6.3.A/B",0.194956457851633
"34","2","T1.D6.3.A/B",0.20295739134151
"35","2","T1.D8.3.A/B",0.145916875029485
"36","2","T1.D8.3.A/B",0.142098666970491
"37","2","T1.D11.3.A/B",0.245795741609527
"38","2","T1.D12.3.A/B",0.437631993563742
"39","2","T1.D13.2.A/B",0.476393646838991
"40","2","T1.D13.2.A/B",0.476393646838991
"41","4","T4.D4.3.A/B",0.254163132282691
"42","4","T4.D6.3.A/B",0.403537308987606
"43","4","T5.D12.3.A/B",0.555133653531823
"44","4","T4.D7.3.A/B",0.412140575079872
"45","4","T5.D5.3.A/B",0.188158483984255
"46","4","T5.D6.2.A/B",0.228882964670846
"47","4","T5.D6.2.A/B",0.228882964670846
"48","4","T5.D7.3.A/B",0.244592805120283
"49","4","T5.D8.3.A/B",0.295984423203358
"50","4","T5.D13.3.A/B",0.497738137251757
"51","4","T5.D9.3.A/B",0.320881512719358
"52","4","T5.D10.3.A/B",0.432734957991964
"53","4","T4.D8.3.A/B",0.215051486354131
"54","4","T4.D9.3.A/B",0.228255464254422
"55","4","T4.D10.3.A/B",0.436155866278657
"56","4","T1.D5.3.A/B",0.303713210502273
"57","4","T1.D6.3.A/B",0.347840179786935
"58","4","T1.D6.3.A/B",0.360806017351169
"59","4","T1.D8.3.A/B",0.320705760249092
"60","4","T1.D8.3.A/B",0.335262618206677
"61","4","T1.D12.3.A/B",0.0919848479769367
"62","5","T1.D5.3.A/B",0.0752865937221292
"63","5","T1.D6.3.A/B",0.0468267173758022
"64","5","T1.D6.3.A/B",0.0492969785033548
"65","5","T1.D8.3.A/B",0.0275274803038166
"66","5","T1.D8.3.A/B",0.0288253389540845
"67","3","T1.D13.2.A/B",0.0757396449704142
"68","3","T1.D13.2.A/B",0.0757396449704142
