"","TaxonOfInterest","rep","RMSE(AllPredictions$Predicted, AllPredictions$Real)","MAE(AllPredictions$Predicted, AllPredictions$Real)","R2(AllPredictions$Predicted, AllPredictions$Real)","AUC_ALL"
"1","Ppolymyxa",1,11.1716091982329,6.31639410810399,0.882028260530861,1
"2","Ppolymyxa",2,12.6226836261237,7.37769657914887,0.846592239064697,1
"3","Ppolymyxa",3,11.5291939738767,6.3607986928401,0.873073169865812,0.807692307692308
"4","Srhizophila",1,3.8130621835635,2.27022299565657,0.981057696041535,0.995833333333333
"5","Srhizophila",2,6.69962896680903,3.2989432902211,0.931557452004977,0.908333333333333
"6","Srhizophila",3,8.82930524393369,4.57211692629726,0.887429117212778,0.952083333333333
"7","Krhizophila",1,8.74721436153477,5.03705767466036,0.885382865517274,1
"8","Krhizophila",2,9.19253503267002,5.27991445045522,0.886502645063371,1
"9","Krhizophila",3,8.09708991211592,4.95766690908109,0.900753091545864,1
